"","left daughter","right daughter","split var","split point","status","prediction"
"3092",0,0,NA,0,-1,8.98648285739862
"3093",3654,3655,"capacity_cm3",4.5,-3,8.99966486423302
"3094",0,0,NA,0,-1,8.98648285739862
"3095",3656,3657,"engine_hp",0,-3,8.98648285739862
"3096",3658,3659,"valves_per_cylinder",2.5,-3,8.99217428586236
"3097",3660,3661,"engine_hp_rpm",5.5,-3,9
"3098",3662,3663,"engine_hp_rpm",5.5,-3,9
"3099",0,0,NA,0,-1,9
"3100",3664,3665,"Year_from",1965.5,-3,8.99699619053303
"3101",3666,3667,"X",48974.5,-3,9
"3102",3668,3669,"number_of_gears",3.5,-3,8.83333333333333
"3103",3670,3671,"acceleration_0_100_km.h_s",9.3,-3,8.99908667955396
"3104",0,0,NA,0,-1,9
"3105",3672,3673,"curb_weight_kg",12,-3,9
"3106",0,0,NA,0,-1,8
"3107",0,0,NA,0,-1,8
"3108",0,0,NA,0,-1,9
"3109",3674,3675,"stroke_cycle_mm",0,-3,9
"3110",0,0,NA,0,-1,9
"3111",3676,3677,"maximum_torque_n_m",0,-3,9
"3112",0,0,NA,0,-1,9
"3113",0,0,NA,0,-1,8.98648285739862
"3114",3678,3679,"fuel_tank_capacity_l",5.3491627506784,-3,8.98682945079866
"3115",0,0,NA,0,-1,9
"3116",3680,3681,"acceleration_0_100_km.h_s",10.25,-3,9
"3117",0,0,NA,0,-1,9
"3118",0,0,NA,0,-1,9
"3119",0,0,NA,0,-1,9
"3120",3682,3683,"engine_hp",107.5,-3,9
"3121",0,0,NA,0,-1,9
"3122",3684,3685,"turnover_of_maximum_torque_rpm",4.5,-3,8.99996758478992
"3123",3686,3687,"Year_from",2009,-3,8.99887357144988
"3124",3688,3689,"acceleration_0_100_km.h_s",10.5819513377926,-3,8.99324142869931
"3125",3690,3691,"mixed_fuel_consumption_per_100_km_l",4.55,-3,8.99948295082945
"3126",0,0,NA,0,-1,9
"3127",3692,3693,"Year_from",9.2,-3,8.98648285739862
"3128",0,0,NA,0,-1,9
"3129",0,0,NA,0,-1,9
"3130",0,0,NA,0,-1,8.98648285739862
"3131",0,0,NA,0,-1,9
"3132",0,0,NA,0,-1,8.98648285739862
"3133",3694,3695,"number_of_seats",8,-3,8.99990928092214
"3134",0,0,NA,0,-1,9
"3135",0,0,NA,0,-1,9
"3136",3696,3697,"engine_hp",231.5,-3,9
"3137",0,0,NA,0,-1,9
"3138",0,0,NA,0,-1,8.33333333333333
"3139",3698,3699,"highway_fuel_per_100km_l",7.58979590061247,-3,8.97619047619048
"3140",0,0,NA,0,-1,9
"3141",3700,3701,"fuel_tank_capacity_l",12.6467804768641,-3,9
"3142",3702,3703,"stroke_cycle_mm",81.5,-3,9
"3143",0,0,NA,0,-1,9
"3144",3704,3705,"X",40080.5,-3,8.99946200427457
"3145",3706,3707,"X",57050.5,-3,8.97522496600466
"3146",3708,3709,"engine_hp",98,-3,8.99872479786779
"3147",3710,3711,"number_of_cylinders",2.5,-3,8.99982841426881
"3148",3712,3713,"engine_hp_rpm",0,-3,9
"3149",3714,3715,"Year_from",10.4319513377927,-3,9
"3150",0,0,NA,0,-1,9
"3151",3716,3717,"fuel_tank_capacity_l",6.5,-3,9
"3152",0,0,NA,0,-1,9
"3153",3718,3719,"stroke_cycle_mm",82.5,-3,9
"3154",0,0,NA,0,-1,9
"3155",0,0,NA,0,-1,9
"3156",0,0,NA,0,-1,9
"3157",0,0,NA,0,-1,9
"3158",0,0,NA,0,-1,9
"3159",0,0,NA,0,-1,9
"3160",0,0,NA,0,-1,9
"3161",3720,3721,"number_of_cylinders",0,-3,9
"3162",3722,3723,"wheelbase_mm",2.5,-3,9
"3163",0,0,NA,0,-1,9
"3164",0,0,NA,0,-1,9
"3165",3724,3725,"highway_fuel_per_100km_l",12.65,-3,9
"3166",0,0,NA,0,-1,9
"3167",3726,3727,"number_of_gears",0,-3,8.98648285739862
"3168",0,0,NA,0,-1,9
"3169",3728,3729,"Year_from",1999.5,-3,9
"3170",0,0,NA,0,-1,9
"3171",0,0,NA,0,-1,9
"3172",0,0,NA,0,-1,8.98648285739862
"3173",3730,3731,"city_fuel_per_100km_l",3.5,-3,9
"3174",0,0,NA,0,-1,9
"3175",3732,3733,"engine_hp",8.89918203755123,-3,9
"3176",0,0,NA,0,-1,9
"3177",0,0,NA,0,-1,9
"3178",3734,3735,"acceleration_0_100_km.h_s",7.1,-3,8.99639542863963
"3179",3736,3737,"stroke_cycle_mm",85.5,-3,8.99952571429469
"3180",3738,3739,"length_mm",3.5,-3,8.99997705069168
